gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,cusip,CURCDQ,DATACQTR,DATAFQTR,LTQ,COSTAT
006127,19990331,1999,1,INDL,C,D,STD,293561106,USD,1999Q1,1999Q1,20749.0000,I
006127,19990630,1999,2,INDL,C,D,STD,293561106,USD,1999Q2,1999Q2,21465.0000,I
006127,19990930,1999,3,INDL,C,D,STD,293561106,USD,1999Q3,1999Q3,21408.0000,I
006127,19991231,1999,4,INDL,C,D,STD,293561106,USD,1999Q4,1999Q4,20381.0000,I
006127,20000331,2000,1,INDL,C,D,STD,293561106,USD,2000Q1,2000Q1,24373.0000,I
006127,20000630,2000,2,INDL,C,D,STD,293561106,USD,2000Q2,2000Q2,32005.0000,I
006127,20000930,2000,3,INDL,C,D,STD,293561106,USD,2000Q3,2000Q3,38927.0000,I
006127,20001231,2000,4,INDL,C,D,STD,293561106,USD,2000Q4,2000Q4,50715.0000,I
006127,20010331,2001,1,INDL,C,D,STD,293561106,USD,2001Q1,2001Q1,52211.0000,I
006127,20010630,2001,2,INDL,C,D,STD,293561106,USD,2001Q2,2001Q2,48354.0000,I
006127,20010930,2001,3,INDL,C,D,STD,293561106,USD,2001Q3,2001Q3,48895.0000,I
