DATE,PERMNO,SHROUT,PRC
01/29/1999,23317,330728,66.00000
02/26/1999,23317,330728,65.00000
03/31/1999,23317,330728,64.25000
04/30/1999,23317,351041,75.25000
05/28/1999,23317,353624,71.37500
06/30/1999,23317,353624,81.75000
07/30/1999,23317,353624,85.18750
08/31/1999,23317,707248,41.87500
09/30/1999,23317,713832,41.06250
10/29/1999,23317,713832,39.93750
11/30/1999,23317,715613,38.06250
12/31/1999,23317,715613,44.37500
01/31/2000,23317,715613,67.87500
02/29/2000,23317,715613,68.75000
03/31/2000,23317,715613,74.87500
04/28/2000,23317,724621,69.68750
05/31/2000,23317,732044,72.87500
06/30/2000,23317,732044,64.50000
07/31/2000,23317,732044,73.62500
08/31/2000,23317,738917,84.87500
09/29/2000,23317,738917,87.62500
10/31/2000,23317,738917,82.06250
11/30/2000,23317,738917,64.75000
12/29/2000,23317,738917,83.12500
01/31/2001,23317,738917,80.00000
02/28/2001,23317,738917,68.50000
03/30/2001,23317,754367,58.10000
04/30/2001,23317,754367,62.72000
05/31/2001,23317,746105,52.91000
06/29/2001,23317,746105,49.10000
07/31/2001,23317,748979,45.35000
08/31/2001,23317,749857,34.99000
09/28/2001,23317,749857,27.23000
10/31/2001,23317,749857,13.90000
11/30/2001,23317,743905,0.26000
12/31/2001,23317,743905,0.60000
